INFO 2024-12-12 11:03:14,974 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-12 11:03:15,700 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1720681150.1993587
DEBUG 2024-12-12 11:03:15,700 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\widget_tweaks\models.py first seen with mtime 1720681135.2458143
DEBUG 2024-12-12 11:03:15,701 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\babel\localedata.py first seen with mtime 1722603188.7479143
DEBUG 2024-12-12 11:03:15,701 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\jinja2\loaders.py first seen with mtime 1722603189.1500516
DEBUG 2024-12-12 11:03:15,701 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\pkg_resources\extern\__init__.py first seen with mtime 1720681126.3331401
DEBUG 2024-12-12 11:03:15,701 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\chart\title.py first seen with mtime 1720681139.0692258
DEBUG 2024-12-12 11:03:15,702 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,702 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1720681125.4541123
DEBUG 2024-12-12 11:03:15,702 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\contrib\sessions\exceptions.py first seen with mtime 1720681149.170909
DEBUG 2024-12-12 11:03:15,703 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\asyncio\transports.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,703 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\fields\proxy.py first seen with mtime 1720681150.4960067
DEBUG 2024-12-12 11:03:15,704 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\phonenumbers\data\alt_format_34.py first seen with mtime 1733996833.3158069
DEBUG 2024-12-12 11:03:15,704 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\template\engine.py first seen with mtime 1720681150.8711782
DEBUG 2024-12-12 11:03:15,704 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\signal.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,704 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_meta.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,705 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1720681150.1173494
DEBUG 2024-12-12 11:03:15,705 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\opc\oxml.py first seen with mtime 1722587828.5931842
DEBUG 2024-12-12 11:03:15,705 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\image\tiff.py first seen with mtime 1722587828.5756578
DEBUG 2024-12-12 11:03:15,705 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1720681151.0912938
DEBUG 2024-12-12 11:03:15,706 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1720681149.9762423
DEBUG 2024-12-12 11:03:15,706 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django_countries\__init__.py first seen with mtime 1720681142.323806
DEBUG 2024-12-12 11:03:15,706 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1720681125.4451094
DEBUG 2024-12-12 11:03:15,706 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1720681150.9327247
DEBUG 2024-12-12 11:03:15,706 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\worksheet\related.py first seen with mtime 1720681139.3782253
DEBUG 2024-12-12 11:03:15,707 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\reader\excel.py first seen with mtime 1720681139.1936302
DEBUG 2024-12-12 11:03:15,707 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1720681150.5335321
DEBUG 2024-12-12 11:03:15,707 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\contrib\auth\middleware.py first seen with mtime 1720681146.1060665
DEBUG 2024-12-12 11:03:15,707 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1720681150.4859915
DEBUG 2024-12-12 11:03:15,708 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\cProfile.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,708 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1720681126.2594745
DEBUG 2024-12-12 11:03:15,708 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1720681149.1729069
DEBUG 2024-12-12 11:03:15,709 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\worksheet\_read_only.py first seen with mtime 1720681139.3141804
DEBUG 2024-12-12 11:03:15,709 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\profile.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,709 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_common.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,709 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\psycopg2\errors.py first seen with mtime 1720681132.0932348
DEBUG 2024-12-12 11:03:15,710 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\workbook\__init__.py first seen with mtime 1720681139.2548323
DEBUG 2024-12-12 11:03:15,710 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\jinja2\runtime.py first seen with mtime 1722603189.1550508
DEBUG 2024-12-12 11:03:15,710 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1720681150.2959137
DEBUG 2024-12-12 11:03:15,710 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1717696452.0
DEBUG 2024-12-12 11:03:15,711 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,711 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\debug_toolbar\panels\redirects.py first seen with mtime 1720681177.205135
DEBUG 2024-12-12 11:03:15,712 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1720681150.4940054
DEBUG 2024-12-12 11:03:15,712 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1720681144.9564767
DEBUG 2024-12-12 11:03:15,712 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\descriptors\container.py first seen with mtime 1720681139.1496146
DEBUG 2024-12-12 11:03:15,712 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\drawing\line.py first seen with mtime 1720681139.1656184
DEBUG 2024-12-12 11:03:15,713 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py first seen with mtime 1717696452.0
DEBUG 2024-12-12 11:03:15,713 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1720681150.2899098
DEBUG 2024-12-12 11:03:15,713 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1720681150.879179
DEBUG 2024-12-12 11:03:15,713 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\packaging\core.py first seen with mtime 1720681139.178616
DEBUG 2024-12-12 11:03:15,713 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,714 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\chart\stock_chart.py first seen with mtime 1720681139.0672245
DEBUG 2024-12-12 11:03:15,714 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\workbook\workbook.py first seen with mtime 1720681139.3111837
DEBUG 2024-12-12 11:03:15,714 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\ast.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,714 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\urllib\response.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,715 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1720681150.8851788
DEBUG 2024-12-12 11:03:15,715 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\lxml\__init__.py first seen with mtime 1722587827.6157112
DEBUG 2024-12-12 11:03:15,715 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\workbook\views.py first seen with mtime 1720681139.3091807
DEBUG 2024-12-12 11:03:15,715 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\colorsys.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,716 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1720681150.8971958
DEBUG 2024-12-12 11:03:15,716 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1720681150.8781786
DEBUG 2024-12-12 11:03:15,716 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\selectors.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,716 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\pkg_resources\_vendor\packaging\requirements.py first seen with mtime 1720681126.3161392
DEBUG 2024-12-12 11:03:15,717 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1720681150.1033413
DEBUG 2024-12-12 11:03:15,717 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\asyncio\taskgroups.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,717 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\worksheet\table.py first seen with mtime 1720681139.3812072
DEBUG 2024-12-12 11:03:15,717 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1720681150.894194
DEBUG 2024-12-12 11:03:15,718 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\ctypes\wintypes.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,718 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\asyncio\locks.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,718 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\debug_toolbar\decorators.py first seen with mtime 1720681177.1421318
DEBUG 2024-12-12 11:03:15,718 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1720681150.535538
DEBUG 2024-12-12 11:03:15,719 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\enum\text.py first seen with mtime 1722587828.5626545
DEBUG 2024-12-12 11:03:15,719 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\phonenumbers\data\alt_format_84.py first seen with mtime 1733996833.3388066
DEBUG 2024-12-12 11:03:15,719 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\image\exceptions.py first seen with mtime 1722587828.5676556
DEBUG 2024-12-12 11:03:15,719 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django_extensions\templatetags\__init__.py first seen with mtime 1720681175.4979725
DEBUG 2024-12-12 11:03:15,720 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\migrations\operations\__init__.py first seen with mtime 1720681150.4629924
DEBUG 2024-12-12 11:03:15,720 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1720681151.1028132
DEBUG 2024-12-12 11:03:15,720 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\opcode.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,721 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\reader\strings.py first seen with mtime 1720681139.1936302
DEBUG 2024-12-12 11:03:15,721 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\asyncio\base_subprocess.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,721 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\chart\descriptors.py first seen with mtime 1720681138.993458
DEBUG 2024-12-12 11:03:15,721 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\bisect.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,721 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\debug_toolbar\panels\sql\__init__.py first seen with mtime 1720681177.2171476
DEBUG 2024-12-12 11:03:15,722 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\phonenumbers\data\alt_format_43.py first seen with mtime 1733996833.3248057
DEBUG 2024-12-12 11:03:15,722 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\DLLs\_socket.pyd first seen with mtime 1717696502.0
DEBUG 2024-12-12 11:03:15,722 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\chart\picture.py first seen with mtime 1720681139.0009813
DEBUG 2024-12-12 11:03:15,722 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\core\checks\security\base.py first seen with mtime 1720681150.1063378
DEBUG 2024-12-12 11:03:15,723 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1720681150.534538
DEBUG 2024-12-12 11:03:15,723 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1720681150.4839933
DEBUG 2024-12-12 11:03:15,723 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\__init__.py first seen with mtime 1720681144.1360912
DEBUG 2024-12-12 11:03:15,723 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\enum\table.py first seen with mtime 1722587828.5616508
DEBUG 2024-12-12 11:03:15,724 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\pathlib.py first seen with mtime 1717696452.0
DEBUG 2024-12-12 11:03:15,724 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\phonenumbers\data\__init__.py first seen with mtime 1733996833.311807
DEBUG 2024-12-12 11:03:15,724 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\drawing\properties.py first seen with mtime 1720681139.1666162
DEBUG 2024-12-12 11:03:15,724 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\oxml\parser.py first seen with mtime 1722587828.618202
DEBUG 2024-12-12 11:03:15,725 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\unittest\main.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,725 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1720681151.094297
DEBUG 2024-12-12 11:03:15,725 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\debug_toolbar\panels\sql\views.py first seen with mtime 1720681177.220661
DEBUG 2024-12-12 11:03:15,726 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\psycopg2\extras.py first seen with mtime 1720681132.0952387
DEBUG 2024-12-12 11:03:15,726 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1720681150.0988083
DEBUG 2024-12-12 11:03:15,726 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\pkg_resources\_vendor\packaging\_elffile.py first seen with mtime 1720681126.306142
DEBUG 2024-12-12 11:03:15,726 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1720681120.9866476
DEBUG 2024-12-12 11:03:15,726 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\shape.py first seen with mtime 1722587828.5186543
DEBUG 2024-12-12 11:03:15,727 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\babel\plural.py first seen with mtime 1722603188.764913
DEBUG 2024-12-12 11:03:15,727 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\template\utils.py first seen with mtime 1720681150.8771791
DEBUG 2024-12-12 11:03:15,727 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\opc\part.py first seen with mtime 1722587828.5962026
DEBUG 2024-12-12 11:03:15,728 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\openpyxl\pivot\record.py first seen with mtime 1720681139.189631
DEBUG 2024-12-12 11:03:15,728 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1720681150.2778912
DEBUG 2024-12-12 11:03:15,728 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\docx\text\tabstops.py first seen with mtime 1722587828.7197587
DEBUG 2024-12-12 11:03:15,728 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_legacy.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,729 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1717696452.0
DEBUG 2024-12-12 11:03:15,729 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\babel\localtime\_fallback.py first seen with mtime 1722603188.7499151
DEBUG 2024-12-12 11:03:15,729 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_text.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,729 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\pkg_resources\__init__.py first seen with mtime 1720681126.2664855
DEBUG 2024-12-12 11:03:15,729 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\Lib\unittest\suite.py first seen with mtime 1712667018.0
DEBUG 2024-12-12 11:03:15,730 autoreload File C:\Users\BCK-CustomApp\AppData\Local\Programs\Python\Python312\DLLs\_hashlib.pyd first seen with mtime 1717696502.0
DEBUG 2024-12-12 11:03:15,730 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1720681125.440108
DEBUG 2024-12-12 11:03:15,730 autoreload File C:\Users\BCK-CustomApp\Documents\GitHub\Django-HTMX-Finance-App\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1720681144.1440957
